N,width_mean,abs_x0_mean,chi_mean,r2_mean,valid_fraction,tau_onset
6,1.0672768136404829,0.7070276858596124,0.5655664292116739,0.9952664525742988,0.3333333333333333,0.0
8,0.9178539012182102,0.4827001719885119,0.7589231057564001,0.998415228489695,0.3333333333333333,0.15
10,0.6833974078207701,0.3196653208646253,0.8954201310950295,0.9987458179006669,0.3333333333333333,0.0
12,0.6404557801532238,0.2709485877573561,0.941664033757744,0.9990329847938896,0.3333333333333333,0.0
