method,ell,width_mean,abs_x0_mean,chi_mean,r2_mean,valid_fraction,tau_onset,center_err_to_full,width_err_to_full,chi_ratio_to_full
meas,2,0.7971273807270027,0.2430187109111959,0.8136925875315308,0.998579718898982,0.3333333333333333,0.4499999999999999,0.4406792420179385,0.21229944915896,1.3404527657230811
meas,3,0.7685224969827728,0.2213950903015639,0.8316380865558676,0.9986432315024316,0.3333333333333333,0.4499999999999999,0.4670823349287198,0.2409043329031901,1.3708989697107428
meas,4,0.7627506027485188,0.2220093593694636,0.832768243531997,0.9986492395253684,0.3333333333333333,0.4499999999999999,0.4650782996500126,0.2466762271374441,1.3723796469778324
tomo,2,1.3181889107120048,0.7440161823537833,0.5723004885160774,0.9955598992580904,0.3333333333333333,0.3,0.1925384606022744,0.3715241920203322,0.9327502938545988
tomo,3,0.7271579028211356,0.4428954996955135,0.7894341679831055,0.999262960957328,0.3333333333333333,0.4499999999999999,0.176249290356341,0.2517361330098919,1.3149354372717912
tomo,4,0.8977486743595801,0.5639245536316843,0.6535152761959683,0.998423656280946,0.3333333333333333,0.75,0.0731444416215278,0.1539451030665896,1.074443300967184
